Play,PlayYear,PlayCategory
A Comedy of Errors,1594,Comedy
A Midsummer nights dream,1595,Comedy
A Winters Tale,1609,Comedy
Alls well that ends well,1602,Comedy
Antony and Cleopatra,1608,Tragedy
As you like it,1599,Comedy
Coriolanus,1608,Tragedy
Cymbeline,1609,Tragedy
Hamlet,1600,Tragedy
Henry IV,1597,History
Henry V,1599,History
Henry VI Part 1,1592,History
Henry VI Part 2,1591,History
Henry VI Part 3,1592,History
Henry VIII,1613,History
Julius Caesar,1599,Tragedy
King John,1595,History
King Lear,1605,Tragedy
Loves Labours Lost,1594,Comedy
Measure for measure,1603,Comedy
Merchant of Venice,1596,Comedy
Merry Wives of Windsor,1597,Comedy
Much Ado about nothing,1598,Comedy
Othello,1603,Tragedy
Pericles,1607,Comedy
Richard II,1595,History
Richard III,1593,History
Romeo and Juliet,1594,Tragedy
Taming of the Shrew,1594,Comedy
The Tempest,1610,Comedy
Timon of Athens,1606,Tragedy
Titus Andronicus,1594,Tragedy
Troilus and Cressida,1603,Tragedy
Twelfth Night,1601,Comedy
Two Gentlemen of Verona,1593,Comedy
macbeth,1606,Tragedy
